,city
"(37.6, -122.4)","San Mateo County,,California"
"(44.4, -110.5)","Teton County,,Wyoming"
"(44.9, -110.3)","Park County,,Wyoming"
"(61.6, -149.2)","Matanuska-Susitna,,Alaska"
"(44.7, -110.5)","Park County,,Wyoming"
"(63.5, -148.8)","Denali,,Alaska"
"(40.4, -74.7)","Mercer County,Princeton Township,New Jersey"
"(38.9, -120.0)","El Dorado County,South Lake Tahoe,California"
"(40.9, -74.0)","Bergen County,Fort Lee,New Jersey"
"(60.8, -149.0)","Anchorage,,Alaska"
"(37.3, -122.0)","Santa Clara County,Santa Clara,California"
"(60.9, -149.2)","Anchorage,,Alaska"
"(39.0, -120.0)","El Dorado County,South Lake Tahoe,California"
"(37.8, -122.5)","Marin County,,California"
"(39.9, 116.4)",",西城区,北京市"
"(39.9, -75.7)","Chester County,East Marlborough Township,Pennsylvania"
"(36.2, -121.8)","Monterey County,,California"
"(40.3, -74.9)","Mercer County,Hopewell Township,New Jersey"
"(44.7, -111.0)","Teton County,,Wyoming"
"(40.5, -74.5)","Middlesex County,Piscataway Township,New Jersey"
"(40.4, -74.5)","Middlesex County,North Brunswick Township,New Jersey"
"(37.5, -122.1)","Santa Clara County,Palo Alto,California"
"(30.6, 114.3)","江汉区 (Jianghan),武汉市 / Wuhan,湖北省"
"(37.9, -120.4)","Tuolumne County,,California"
"(40.7, -74.0)","New York County,NYC,New York"
"(63.6, -148.8)","Denali,,Alaska"
"(27.7, -82.7)","Pinellas County,,Florida"
"(30.6, 114.4)","武昌区 (Wuchang),武汉市 / Wuhan,湖北省"
"(44.6, -110.5)","Park County,,Wyoming"
"(32.8, 120.4)","东台市 (Dongtai),盐城市 / Yancheng,江苏省"
"(40.1, -74.2)","Ocean County,Lakewood Township,New Jersey"
"(30.6, 114.2)","硚口区 (Qiaokou),武汉市 / Wuhan,湖北省"
"(61.2, -149.9)","Anchorage,Anchorage,Alaska"
"(44.9, -110.2)","Park County,,Wyoming"
"(40.8, -74.0)","New York County,NYC,New York"
"(43.9, -110.6)","Teton County,,Wyoming"
"(31.2, 121.4)","静安区,静安区,上海市"
"(34.3, 118.0)","邳州市 (Pizhou),邳州市,江苏省"
"(61.3, -149.5)","Anchorage,,Alaska"
"(64.8, -147.7)","Fairbanks North Star,Fairbanks,Alaska"
"(27.6, -82.2)","Manatee County,,Florida"
"(40.1, -74.1)","Ocean County,Brick Township,New Jersey"
"(43.7, -110.7)","Teton County,,Wyoming"
"(37.3, -121.9)","Santa Clara County,San José,California"
"(40.5, -74.3)","Middlesex County,Edison,New Jersey"
"(30.5, 114.3)","武昌区 (Wuchang),武汉市 / Wuhan,湖北省"
"(40.8, -111.9)","Salt Lake County,Salt Lake City,Utah"
"(38.9, -120.1)","El Dorado County,,California"
"(37.4, -122.1)","Santa Clara County,Mountain View,California"
"(34.9, 119.2)","赣榆区 (Ganyu),赣榆区,江苏省"
"(44.5, -110.8)","Teton County,,Wyoming"
"(27.8, -82.6)","Pinellas County,St. Petersburg,Florida"
"(37.2, -122.1)","Santa Clara County,,California"
"(40.0, 116.3)",",海淀区,北京市"
"(44.8, -110.5)","Park County,,Wyoming"
"(40.6, -74.6)","Somerset County,Bridgewater Township,New Jersey"
"(63.0, -149.6)","Matanuska-Susitna,,Alaska"
"(61.9, -147.2)","Matanuska-Susitna,,Alaska"
"(61.1, -149.8)","Anchorage,Anchorage,Alaska"
"(63.2, -149.2)","Matanuska-Susitna,,Alaska"
"(27.7, -82.8)","Pinellas County,,Florida"
"(65.1, -146.1)","Fairbanks North Star,,Alaska"
"(34.8, 119.2)","赣榆区 (Ganyu),赣榆区,江苏省"
"(43.8, -110.8)","Teton County,,Wyoming"
"(61.0, -149.7)","Anchorage,Anchorage,Alaska"
"(37.4, -122.0)","Santa Clara County,Santa Clara,California"
