,0
20090101,2
20090102,1
20090103,1
20090104,0
20090105,0
20090106,0
20090107,0
20090108,0
20090109,0
20090110,1
20090111,1
20090112,0
20090113,0
20090114,0
20090115,0
20090116,0
20090117,1
20090118,1
20090119,0
20090120,0
20090121,0
20090122,0
20090123,0
20090124,0
20090125,2
20090126,2
20090127,2
20090128,1
20090129,1
20090130,1
20090131,1
20090201,0
20090202,0
20090203,0
20090204,0
20090205,0
20090206,0
20090207,1
20090208,1
20090209,0
20090210,0
20090211,0
20090212,0
20090213,0
20090214,1
20090215,1
20090216,0
20090217,0
20090218,0
20090219,0
20090220,0
20090221,1
20090222,1
20090223,0
20090224,0
20090225,0
20090226,0
20090227,0
20090228,1
20090301,1
20090302,0
20090303,0
20090304,0
20090305,0
20090306,0
20090307,1
20090308,1
20090309,0
20090310,0
20090311,0
20090312,0
20090313,0
20090314,1
20090315,1
20090316,0
20090317,0
20090318,0
20090319,0
20090320,0
20090321,1
20090322,1
20090323,0
20090324,0
20090325,0
20090326,0
20090327,0
20090328,1
20090329,1
20090330,0
20090331,0
20090401,0
20090402,0
20090403,0
20090404,2
20090405,1
20090406,1
20090407,0
20090408,0
20090409,0
20090410,0
20090411,1
20090412,1
20090413,0
20090414,0
20090415,0
20090416,0
20090417,0
20090418,1
20090419,1
20090420,0
20090421,0
20090422,0
20090423,0
20090424,0
20090425,1
20090426,1
20090427,0
20090428,0
20090429,0
20090430,0
20090501,2
20090502,1
20090503,1
20090504,0
20090505,0
20090506,0
20090507,0
20090508,0
20090509,1
20090510,1
20090511,0
20090512,0
20090513,0
20090514,0
20090515,0
20090516,1
20090517,1
20090518,0
20090519,0
20090520,0
20090521,0
20090522,0
20090523,1
20090524,1
20090525,0
20090526,0
20090527,0
20090528,2
20090529,1
20090530,1
20090531,0
20090601,0
20090602,0
20090603,0
20090604,0
20090605,0
20090606,1
20090607,1
20090608,0
20090609,0
20090610,0
20090611,0
20090612,0
20090613,1
20090614,1
20090615,0
20090616,0
20090617,0
20090618,0
20090619,0
20090620,1
20090621,1
20090622,0
20090623,0
20090624,0
20090625,0
